JDBC time:2242872, Search Servlet time:2526181
JDBC time:1600395, Search Servlet time:1890954
JDBC time:1403985, Search Servlet time:1682260
JDBC time:1740410, Search Servlet time:2043685
JDBC time:1608650, Search Servlet time:1907188
JDBC time:1700968, Search Servlet time:2009342
JDBC time:1443037, Search Servlet time:1717366
JDBC time:1609001, Search Servlet time:1886599
JDBC time:1463374, Search Servlet time:1746654
JDBC time:1738346, Search Servlet time:2030949
JDBC time:1355412, Search Servlet time:1618522
JDBC time:2076549, Search Servlet time:2359285
JDBC time:1480283, Search Servlet time:1776985
JDBC time:2168289, Search Servlet time:2443676
JDBC time:1883259, Search Servlet time:2153672
JDBC time:2041014, Search Servlet time:2364127
JDBC time:1380770, Search Servlet time:1683158
JDBC time:1403096, Search Servlet time:1682230
JDBC time:1460283, Search Servlet time:1739605
JDBC time:1432895, Search Servlet time:1733073
JDBC time:1619595, Search Servlet time:1904289
JDBC time:1337519, Search Servlet time:1641368
JDBC time:2554250, Search Servlet time:2875060
JDBC time:1499746, Search Servlet time:1782967
JDBC time:1799713, Search Servlet time:2072790
JDBC time:1690110, Search Servlet time:1969537
JDBC time:1415677, Search Servlet time:1711654
JDBC time:1432664, Search Servlet time:1725112
JDBC time:1496236, Search Servlet time:1792304
JDBC time:1377107, Search Servlet time:1665837
JDBC time:1743174, Search Servlet time:2035286
JDBC time:1516735, Search Servlet time:1814564
JDBC time:1875146, Search Servlet time:2150235
JDBC time:1270585, Search Servlet time:1603767
JDBC time:1413858, Search Servlet time:1700179
JDBC time:2076060, Search Servlet time:2361778
JDBC time:1636201, Search Servlet time:1941109
JDBC time:1557608, Search Servlet time:1860007
JDBC time:1756372, Search Servlet time:2042093
JDBC time:1327676, Search Servlet time:1624642
JDBC time:1389034, Search Servlet time:1660984
JDBC time:1549244, Search Servlet time:1813936
JDBC time:1550766, Search Servlet time:1827780
JDBC time:1701177, Search Servlet time:1977064
JDBC time:2101900, Search Servlet time:2404323
JDBC time:1370598, Search Servlet time:1686164
JDBC time:1462587, Search Servlet time:1743237
JDBC time:1367800, Search Servlet time:1670448
JDBC time:1444822, Search Servlet time:1737076
JDBC time:1449043, Search Servlet time:1854241
JDBC time:1366808, Search Servlet time:1664989
JDBC time:1711981, Search Servlet time:2024609
JDBC time:1405382, Search Servlet time:1695528
JDBC time:2765853, Search Servlet time:3056647
JDBC time:1676265, Search Servlet time:1970986
JDBC time:1492983, Search Servlet time:1783642
JDBC time:1407364, Search Servlet time:1698353
JDBC time:1483359, Search Servlet time:1763603
JDBC time:1383520, Search Servlet time:1666017
JDBC time:3598810, Search Servlet time:3894786
JDBC time:1659080, Search Servlet time:1942032
JDBC time:1568323, Search Servlet time:1872559
JDBC time:1431824, Search Servlet time:1722323
JDBC time:1565988, Search Servlet time:1869163
JDBC time:1745608, Search Servlet time:2023101
JDBC time:4717883, Search Servlet time:5025879
JDBC time:1672365, Search Servlet time:1941188
JDBC time:1853845, Search Servlet time:2151927
JDBC time:1593843, Search Servlet time:1876987
JDBC time:1743014, Search Servlet time:2076373
JDBC time:1411310, Search Servlet time:1711187
JDBC time:1458413, Search Servlet time:1729865
JDBC time:1612326, Search Servlet time:1894095
JDBC time:1371272, Search Servlet time:1653544
JDBC time:3658548, Search Servlet time:3950382
JDBC time:1701374, Search Servlet time:2035786
JDBC time:1646231, Search Servlet time:1935103
JDBC time:1511091, Search Servlet time:1786666
JDBC time:1754130, Search Servlet time:2035816
JDBC time:1376012, Search Servlet time:1662607
JDBC time:2974374, Search Servlet time:3327059
JDBC time:1543302, Search Servlet time:1823831
JDBC time:1839583, Search Servlet time:2117382
JDBC time:1518345, Search Servlet time:1823557
JDBC time:1501971, Search Servlet time:1810414
JDBC time:1774603, Search Servlet time:2062197
JDBC time:1701548, Search Servlet time:1982171
JDBC time:1791440, Search Servlet time:2075062
JDBC time:1506395, Search Servlet time:1773617
JDBC time:2266394, Search Servlet time:2569091
JDBC time:1421144, Search Servlet time:1848886
JDBC time:1479384, Search Servlet time:1783349
JDBC time:1407992, Search Servlet time:1683219
JDBC time:1507049, Search Servlet time:1780465
JDBC time:1524516, Search Servlet time:1818155
JDBC time:1539866, Search Servlet time:1828380
JDBC time:1548669, Search Servlet time:1829614
JDBC time:1774100, Search Servlet time:2057478
JDBC time:1739703, Search Servlet time:2041223
JDBC time:1625115, Search Servlet time:1910966
JDBC time:1321399, Search Servlet time:1616025
JDBC time:1653520, Search Servlet time:1931546
JDBC time:1359372, Search Servlet time:1645351
JDBC time:1456299, Search Servlet time:1753387
JDBC time:1487128, Search Servlet time:1762934
JDBC time:1715874, Search Servlet time:1985781
JDBC time:1667230, Search Servlet time:1940878
JDBC time:1972180, Search Servlet time:2286014
JDBC time:1574468, Search Servlet time:1879071
JDBC time:1353858, Search Servlet time:1630509
JDBC time:1559453, Search Servlet time:1846789
JDBC time:1799236, Search Servlet time:2083383
JDBC time:1395502, Search Servlet time:1695858
JDBC time:1718170, Search Servlet time:1997489
JDBC time:1789061, Search Servlet time:2082265
JDBC time:1459444, Search Servlet time:1737055
JDBC time:1831464, Search Servlet time:2119585
JDBC time:1553773, Search Servlet time:1855773
JDBC time:1460081, Search Servlet time:1750464
JDBC time:1525229, Search Servlet time:1814047
JDBC time:1652521, Search Servlet time:1932066
JDBC time:6448721, Search Servlet time:6762592
JDBC time:1597124, Search Servlet time:1928852
JDBC time:1454131, Search Servlet time:1791473
JDBC time:1355372, Search Servlet time:1646536
JDBC time:1685313, Search Servlet time:1954409
JDBC time:1524011, Search Servlet time:1826837
JDBC time:10435476, Search Servlet time:10761026
JDBC time:1434167, Search Servlet time:1718225
JDBC time:3586539, Search Servlet time:3876448
JDBC time:2938341, Search Servlet time:3221446
JDBC time:1514964, Search Servlet time:1794646
JDBC time:3658709, Search Servlet time:3956660
JDBC time:1472620, Search Servlet time:1783936
JDBC time:1780214, Search Servlet time:2078687
JDBC time:1649175, Search Servlet time:1928449
JDBC time:1343568, Search Servlet time:1621883
JDBC time:1849291, Search Servlet time:2136690
JDBC time:1905705, Search Servlet time:2195597
JDBC time:9408464, Search Servlet time:9717853
JDBC time:1611797, Search Servlet time:1897727
JDBC time:1445390, Search Servlet time:1757346
JDBC time:1715850, Search Servlet time:2008879
JDBC time:1529245, Search Servlet time:1814865
JDBC time:1547285, Search Servlet time:1828624
JDBC time:1768041, Search Servlet time:2056645
JDBC time:1968612, Search Servlet time:2266597
JDBC time:1713167, Search Servlet time:2001500
JDBC time:1592855, Search Servlet time:1868690
JDBC time:1539969, Search Servlet time:1833200
JDBC time:1779967, Search Servlet time:2072223
JDBC time:1343663, Search Servlet time:1643262
JDBC time:1600462, Search Servlet time:1879086
JDBC time:1712483, Search Servlet time:1992277
JDBC time:1444852, Search Servlet time:1725025
JDBC time:1680602, Search Servlet time:1960390
JDBC time:1471855, Search Servlet time:1754677
JDBC time:1433082, Search Servlet time:1716536
JDBC time:1676933, Search Servlet time:1997491
JDBC time:1712644, Search Servlet time:1995276
JDBC time:1429416, Search Servlet time:1735046
JDBC time:1496139, Search Servlet time:1773646
JDBC time:1388046, Search Servlet time:1661018
JDBC time:1643001, Search Servlet time:1917449
JDBC time:1555369, Search Servlet time:1821007
JDBC time:1699467, Search Servlet time:1982373
JDBC time:1341563, Search Servlet time:1652374
JDBC time:1503177, Search Servlet time:1783046
JDBC time:1386552, Search Servlet time:1666288
JDBC time:1458832, Search Servlet time:1727200
JDBC time:1452045, Search Servlet time:1737158
JDBC time:1798337, Search Servlet time:2080646
JDBC time:1562789, Search Servlet time:1874774
JDBC time:2551755, Search Servlet time:2877765
JDBC time:1722466, Search Servlet time:2041508
JDBC time:1547411, Search Servlet time:1836315
JDBC time:1553246, Search Servlet time:1849709
JDBC time:1454296, Search Servlet time:1736472
JDBC time:1745703, Search Servlet time:2032892
JDBC time:1320067, Search Servlet time:1599827
JDBC time:1520562, Search Servlet time:1825067
JDBC time:2100687, Search Servlet time:2390616
JDBC time:1420608, Search Servlet time:1731739
JDBC time:1860544, Search Servlet time:2151569
JDBC time:1376238, Search Servlet time:1695144
JDBC time:1308002, Search Servlet time:1597831
JDBC time:1842596, Search Servlet time:2120387
JDBC time:1967547, Search Servlet time:2217437
JDBC time:1510458, Search Servlet time:1855771
JDBC time:1768072, Search Servlet time:2052378
JDBC time:2302232, Search Servlet time:2592980
JDBC time:1484130, Search Servlet time:1785248
JDBC time:6602525, Search Servlet time:6912698
JDBC time:1516112, Search Servlet time:1836963
JDBC time:1465927, Search Servlet time:1740854
JDBC time:1592562, Search Servlet time:1868408
JDBC time:3558702, Search Servlet time:3837018
JDBC time:1695840, Search Servlet time:1978240
JDBC time:1376457, Search Servlet time:1656725
JDBC time:1700979, Search Servlet time:1978719
JDBC time:1589162, Search Servlet time:1864344
JDBC time:1991672, Search Servlet time:2284655
JDBC time:10460653, Search Servlet time:10775211
JDBC time:2344169, Search Servlet time:2645607
JDBC time:1483763, Search Servlet time:1763743
JDBC time:1358840, Search Servlet time:1640998
JDBC time:1607000, Search Servlet time:1902177
JDBC time:1524606, Search Servlet time:1818583
JDBC time:1704302, Search Servlet time:2000505
JDBC time:1449416, Search Servlet time:1731968
JDBC time:1720197, Search Servlet time:1989450
JDBC time:1759795, Search Servlet time:2043068
JDBC time:1471834, Search Servlet time:1756743
JDBC time:1456862, Search Servlet time:1737179
JDBC time:1577796, Search Servlet time:1857060
JDBC time:1844581, Search Servlet time:2205425
JDBC time:1469399, Search Servlet time:1774627
JDBC time:1677842, Search Servlet time:1970524
JDBC time:1778160, Search Servlet time:2051852
JDBC time:1831407, Search Servlet time:2112567
JDBC time:1573572, Search Servlet time:1865684
JDBC time:1595883, Search Servlet time:1917455
JDBC time:1865272, Search Servlet time:2161606
JDBC time:1583644, Search Servlet time:1875149
JDBC time:9295249, Search Servlet time:9568046
JDBC time:1467559, Search Servlet time:1751918
JDBC time:3785780, Search Servlet time:4137160
JDBC time:1465337, Search Servlet time:1741165
JDBC time:3650758, Search Servlet time:3949689
JDBC time:1903142, Search Servlet time:2192189
JDBC time:1749657, Search Servlet time:2047432
JDBC time:1527535, Search Servlet time:1824783
JDBC time:1413127, Search Servlet time:1700135
JDBC time:5065088, Search Servlet time:5370108
JDBC time:2066544, Search Servlet time:2336848
JDBC time:1727810, Search Servlet time:2022492
JDBC time:1519957, Search Servlet time:1825141
JDBC time:1909970, Search Servlet time:2191529
JDBC time:1950735, Search Servlet time:2261137
JDBC time:1811500, Search Servlet time:2101269
JDBC time:2210821, Search Servlet time:2499579
JDBC time:1624889, Search Servlet time:1905226
JDBC time:1567587, Search Servlet time:1850696
JDBC time:1434946, Search Servlet time:1715863
JDBC time:1661343, Search Servlet time:1941360
JDBC time:1423099, Search Servlet time:1700430
JDBC time:3558270, Search Servlet time:3845449
JDBC time:1460069, Search Servlet time:1764585
JDBC time:1589816, Search Servlet time:1872069
JDBC time:1729403, Search Servlet time:2022787
JDBC time:3682041, Search Servlet time:3965549
JDBC time:1524656, Search Servlet time:1798114
JDBC time:2007195, Search Servlet time:2292152
JDBC time:1692956, Search Servlet time:1964963
JDBC time:1985272, Search Servlet time:2262786
JDBC time:1542129, Search Servlet time:1821019
JDBC time:1362351, Search Servlet time:1660039
JDBC time:3669208, Search Servlet time:3970051
JDBC time:1445471, Search Servlet time:1737780
JDBC time:1618608, Search Servlet time:1898198
JDBC time:1507752, Search Servlet time:1778600
JDBC time:1802472, Search Servlet time:2111146
JDBC time:3698261, Search Servlet time:3992414
JDBC time:1629860, Search Servlet time:1915850
JDBC time:1314480, Search Servlet time:1612037
JDBC time:1722148, Search Servlet time:2009894
JDBC time:1543506, Search Servlet time:1846182
JDBC time:1516020, Search Servlet time:1811447
JDBC time:10973280, Search Servlet time:13475607
JDBC time:1819171, Search Servlet time:2094450
JDBC time:1510611, Search Servlet time:1790449
JDBC time:1819124, Search Servlet time:2097846
JDBC time:1477213, Search Servlet time:1758307
JDBC time:1367349, Search Servlet time:1678101
JDBC time:1488438, Search Servlet time:1770542
JDBC time:1406527, Search Servlet time:1682937
JDBC time:1726250, Search Servlet time:2004281
JDBC time:10264886, Search Servlet time:10586815
JDBC time:1652022, Search Servlet time:1958898
JDBC time:1712173, Search Servlet time:2002836
JDBC time:1569278, Search Servlet time:1866438
JDBC time:1378933, Search Servlet time:1703339
JDBC time:1749253, Search Servlet time:2021322
JDBC time:1859730, Search Servlet time:2143741
JDBC time:1551620, Search Servlet time:1827627
JDBC time:1444675, Search Servlet time:1727658
JDBC time:1527247, Search Servlet time:1826402
JDBC time:1899464, Search Servlet time:2198433
JDBC time:10762817, Search Servlet time:11090631
JDBC time:1396395, Search Servlet time:1695153
JDBC time:1429240, Search Servlet time:1734604
JDBC time:2230823, Search Servlet time:2538504
JDBC time:1833687, Search Servlet time:2103273
JDBC time:1801977, Search Servlet time:2082708
JDBC time:10806573, Search Servlet time:11141782
JDBC time:4211826, Search Servlet time:4624418
JDBC time:1462736, Search Servlet time:1800255
JDBC time:1433819, Search Servlet time:1724399
JDBC time:1365645, Search Servlet time:1670762
JDBC time:1597399, Search Servlet time:1891076
JDBC time:1697986, Search Servlet time:1975995
JDBC time:1552255, Search Servlet time:1835818
JDBC time:1424809, Search Servlet time:1717932
JDBC time:1714735, Search Servlet time:1985840
JDBC time:1415162, Search Servlet time:1686361
JDBC time:1808430, Search Servlet time:2124542
JDBC time:9375972, Search Servlet time:9712525
JDBC time:1674022, Search Servlet time:1965874
JDBC time:1369709, Search Servlet time:1650600
JDBC time:1535199, Search Servlet time:1821177
JDBC time:1862752, Search Servlet time:2129676
JDBC time:1659909, Search Servlet time:1957453
JDBC time:1354170, Search Servlet time:1634619
JDBC time:1712990, Search Servlet time:1985529
JDBC time:2979690, Search Servlet time:3257610
JDBC time:1450839, Search Servlet time:1754704
JDBC time:1505966, Search Servlet time:1775098
JDBC time:1666759, Search Servlet time:1942919
JDBC time:1430636, Search Servlet time:1733106
JDBC time:1728176, Search Servlet time:2003977
JDBC time:1760946, Search Servlet time:2053843
JDBC time:1637773, Search Servlet time:1932542
JDBC time:1576166, Search Servlet time:1855423
JDBC time:1408460, Search Servlet time:1732881
JDBC time:1830863, Search Servlet time:2117078
JDBC time:1927719, Search Servlet time:2215412
JDBC time:10962127, Search Servlet time:11313852
JDBC time:1387846, Search Servlet time:1657653
JDBC time:1465406, Search Servlet time:1739727
JDBC time:1538626, Search Servlet time:1807474
JDBC time:3660332, Search Servlet time:3943359
JDBC time:3573800, Search Servlet time:3855448
JDBC time:2006824, Search Servlet time:2275900
JDBC time:1472107, Search Servlet time:1755660
JDBC time:1810784, Search Servlet time:2083970
JDBC time:1547428, Search Servlet time:1822156
JDBC time:1345037, Search Servlet time:1619108
JDBC time:1596151, Search Servlet time:1876455
JDBC time:1689832, Search Servlet time:1981094
JDBC time:1841178, Search Servlet time:2106943
JDBC time:1803611, Search Servlet time:2119060
JDBC time:1429474, Search Servlet time:1713812
JDBC time:2012440, Search Servlet time:2291158
JDBC time:1571571, Search Servlet time:1856650
JDBC time:1811426, Search Servlet time:2092763
JDBC time:1414657, Search Servlet time:1686833
JDBC time:1340590, Search Servlet time:1614237
JDBC time:1462636, Search Servlet time:1746756
JDBC time:1343018, Search Servlet time:1651499
JDBC time:2513940, Search Servlet time:2783948
JDBC time:1692166, Search Servlet time:1975416
JDBC time:1439269, Search Servlet time:1746376
JDBC time:1727989, Search Servlet time:2024648
JDBC time:2246698, Search Servlet time:2554467
JDBC time:1563568, Search Servlet time:1846191
JDBC time:1643879, Search Servlet time:1994948
JDBC time:2013215, Search Servlet time:2266849
JDBC time:1575568, Search Servlet time:1851491
JDBC time:1368281, Search Servlet time:1640951
JDBC time:1740112, Search Servlet time:2022495
JDBC time:1504293, Search Servlet time:1772760
JDBC time:3692323, Search Servlet time:3982894
JDBC time:1415235, Search Servlet time:1714968
JDBC time:1481686, Search Servlet time:1758675
JDBC time:1391740, Search Servlet time:1663047
JDBC time:1596286, Search Servlet time:1939841
JDBC time:1588876, Search Servlet time:1872455
JDBC time:1384390, Search Servlet time:1679970
JDBC time:1777454, Search Servlet time:2060775
JDBC time:1594220, Search Servlet time:1875264
JDBC time:3530454, Search Servlet time:3820951
JDBC time:1477514, Search Servlet time:1754382
JDBC time:1566901, Search Servlet time:1841040
JDBC time:1593030, Search Servlet time:1862859
JDBC time:1506906, Search Servlet time:1773545
JDBC time:1574271, Search Servlet time:1891106
JDBC time:1319668, Search Servlet time:1594270
JDBC time:1445762, Search Servlet time:1723299
JDBC time:5116033, Search Servlet time:5396370
JDBC time:1422494, Search Servlet time:1701259
JDBC time:1483298, Search Servlet time:1767997
JDBC time:1349905, Search Servlet time:1635090
JDBC time:1388638, Search Servlet time:1667893
JDBC time:1893511, Search Servlet time:2177891
JDBC time:1469455, Search Servlet time:1762546
JDBC time:1437153, Search Servlet time:1738004
JDBC time:1456717, Search Servlet time:1733551
JDBC time:1638608, Search Servlet time:1910320
JDBC time:1381840, Search Servlet time:1661961
JDBC time:1730005, Search Servlet time:2104948
JDBC time:1389603, Search Servlet time:1675497
JDBC time:1732335, Search Servlet time:2013588
JDBC time:10254786, Search Servlet time:10568944
JDBC time:1672138, Search Servlet time:1940956
JDBC time:1482389, Search Servlet time:1753990
JDBC time:1611616, Search Servlet time:1885313
JDBC time:1371835, Search Servlet time:1635648
JDBC time:1987080, Search Servlet time:2265773
JDBC time:1392495, Search Servlet time:1684753
JDBC time:1674900, Search Servlet time:1941791
JDBC time:1419511, Search Servlet time:1699686
JDBC time:1885198, Search Servlet time:2165247
JDBC time:1445052, Search Servlet time:1697594
