JDBC time: 54253482, Servlet time: 54276776
JDBC time: 53972287, Servlet time: 53997631
JDBC time: 59629011, Servlet time: 59661032
JDBC time: 55190493, Servlet time: 55214306
JDBC time: 56632107, Servlet time: 56655608
JDBC time: 29569909, Servlet time: 29612548
JDBC time: 16856975, Servlet time: 16899787
JDBC time: 18123986, Servlet time: 18145305
JDBC time: 72101303, Servlet time: 72126284
JDBC time: 206225109, Servlet time: 206246665
JDBC time: 207741459, Servlet time: 207790881
JDBC time: 207357500, Servlet time: 207378002
JDBC time: 207432068, Servlet time: 207452478
JDBC time: 209204319, Servlet time: 209227320
JDBC time: 167800880, Servlet time: 167843312
JDBC time: 168530508, Servlet time: 168552515
JDBC time: 218500914, Servlet time: 218524631
JDBC time: 219648516, Servlet time: 219668405
JDBC time: 9747189, Servlet time: 9791622
JDBC time: 74002582, Servlet time: 74025266
JDBC time: 76326157, Servlet time: 76353480
JDBC time: 76997125, Servlet time: 77018089
JDBC time: 82268429, Servlet time: 82291479
JDBC time: 84700489, Servlet time: 84722440
JDBC time: 85334747, Servlet time: 85357691
JDBC time: 92181625, Servlet time: 92217604
JDBC time: 95899671, Servlet time: 95956093
JDBC time: 95174535, Servlet time: 95194803
JDBC time: 22868093, Servlet time: 22914756
JDBC time: 70866577, Servlet time: 70889167
JDBC time: 76636239, Servlet time: 76657666
JDBC time: 76085978, Servlet time: 76109312
JDBC time: 76771202, Servlet time: 76806785
JDBC time: 71777936, Servlet time: 71800432
JDBC time: 84230407, Servlet time: 84271148
JDBC time: 81899459, Servlet time: 81923260
JDBC time: 83128488, Servlet time: 83149263
JDBC time: 89234590, Servlet time: 89306982
JDBC time: 39848149, Servlet time: 39887853
JDBC time: 73660305, Servlet time: 73681370
JDBC time: 77870398, Servlet time: 77891247
JDBC time: 82938246, Servlet time: 82960228
JDBC time: 87923802, Servlet time: 87944367
JDBC time: 89606476, Servlet time: 89631081
JDBC time: 87270357, Servlet time: 87304156
JDBC time: 89718281, Servlet time: 89739022
JDBC time: 97206555, Servlet time: 97233138
JDBC time: 100796232, Servlet time: 100841564
JDBC time: 48763467, Servlet time: 48827089
JDBC time: 68897009, Servlet time: 68917771
JDBC time: 69194386, Servlet time: 69217172
JDBC time: 78798780, Servlet time: 78821621
JDBC time: 72950512, Servlet time: 72972270
JDBC time: 74569075, Servlet time: 74590921
JDBC time: 78000574, Servlet time: 78024409
JDBC time: 78644587, Servlet time: 78667025
JDBC time: 87335332, Servlet time: 87382445
JDBC time: 81709574, Servlet time: 81729618
JDBC time: 81046751, Servlet time: 81072582
JDBC time: 9829796, Servlet time: 9901002
JDBC time: 24194076, Servlet time: 24216737
JDBC time: 19945903, Servlet time: 19972454
JDBC time: 26677333, Servlet time: 26720494
JDBC time: 18713511, Servlet time: 18754334
JDBC time: 14716871, Servlet time: 14763705
