JDBC time:1686141, Search Servlet time:1860832
JDBC time:1795709, Search Servlet time:1961529
JDBC time:3835990, Search Servlet time:4023805
JDBC time:2412661, Search Servlet time:2610957
JDBC time:2602519, Search Servlet time:2792713
JDBC time:1872671, Search Servlet time:2055056
JDBC time:3738422, Search Servlet time:3901808
JDBC time:1691497, Search Servlet time:1839049
JDBC time:1833318, Search Servlet time:2023055
JDBC time:2056241, Search Servlet time:2243173
JDBC time:1831597, Search Servlet time:2027983
JDBC time:4243927, Search Servlet time:4426715
JDBC time:2738946, Search Servlet time:2912840
JDBC time:7681114, Search Servlet time:7876975
JDBC time:1527143, Search Servlet time:1660565
JDBC time:1956666, Search Servlet time:2256366
JDBC time:1885077, Search Servlet time:2084384
JDBC time:1808147, Search Servlet time:1980799
JDBC time:1929404, Search Servlet time:2086734
JDBC time:1740144, Search Servlet time:1945546
JDBC time:1628764, Search Servlet time:1825270
JDBC time:1814524, Search Servlet time:1982692
JDBC time:2182035, Search Servlet time:2312370
JDBC time:1759428, Search Servlet time:1925193
JDBC time:1936022, Search Servlet time:2094891
JDBC time:1319924, Search Servlet time:1445085
JDBC time:4202829, Search Servlet time:1672120
JDBC time:2164606, Search Servlet time:2296822
JDBC time:2022256, Search Servlet time:2170761
JDBC time:2975468, Search Servlet time:3084066
JDBC time:3581216, Search Servlet time:3451833
JDBC time:1624208, Search Servlet time:1763550
JDBC time:2051958, Search Servlet time:2220430
JDBC time:3167295, Search Servlet time:3284038
JDBC time:4134567, Search Servlet time:3646167
JDBC time:1627502, Search Servlet time:1748340
JDBC time:1898465, Search Servlet time:2063914
JDBC time:7192830, Search Servlet time:6736010
JDBC time:8609857, Search Servlet time:8693543
JDBC time:2746238, Search Servlet time:2843481
JDBC time:1732043, Search Servlet time:1885088
JDBC time:2340076, Search Servlet time:2509449
JDBC time:3404789, Search Servlet time:3522681
JDBC time:1444345, Search Servlet time:1533598
JDBC time:2059449, Search Servlet time:2201479
JDBC time:1735433, Search Servlet time:1904341
JDBC time:2291631, Search Servlet time:2848076
JDBC time:1379075, Search Servlet time:1467434
JDBC time:1680498, Search Servlet time:1857709
JDBC time:2935775, Search Servlet time:3114265
JDBC time:2212578, Search Servlet time:2307709
JDBC time:1320340, Search Servlet time:1437879
JDBC time:1776802, Search Servlet time:1926159
JDBC time:1746195, Search Servlet time:1907814
JDBC time:1772058, Search Servlet time:1872602
JDBC time:1985360, Search Servlet time:2084817
JDBC time:1973173, Search Servlet time:2133489
JDBC time:2338043, Search Servlet time:2487274
JDBC time:2279952, Search Servlet time:2372387
JDBC time:1718762, Search Servlet time:1890271
JDBC time:1919664, Search Servlet time:4401436
JDBC time:1875319, Search Servlet time:2414286
JDBC time:4234193, Search Servlet time:2612860
JDBC time:1485685, Search Servlet time:1575188
JDBC time:2052621, Search Servlet time:2245841
JDBC time:4204772, Search Servlet time:4320419
JDBC time:2246330, Search Servlet time:4724070
JDBC time:1314388, Search Servlet time:1430129
JDBC time:1860486, Search Servlet time:2014475
JDBC time:2947431, Search Servlet time:3071873
JDBC time:4607812, Search Servlet time:4358148
JDBC time:1901100, Search Servlet time:1991637
JDBC time:1758616, Search Servlet time:1986332
JDBC time:1701494, Search Servlet time:1833562
JDBC time:4631786, Search Servlet time:2376321
JDBC time:1288221, Search Servlet time:1378510
JDBC time:2161750, Search Servlet time:2378344
JDBC time:1979632, Search Servlet time:2159604
JDBC time:4076378, Search Servlet time:2602773
JDBC time:6126165, Search Servlet time:2995476
JDBC time:1887776, Search Servlet time:2080423
JDBC time:3163628, Search Servlet time:1569852
JDBC time:1836030, Search Servlet time:1919856
JDBC time:5306152, Search Servlet time:3119942
JDBC time:1612779, Search Servlet time:1760321
JDBC time:5369681, Search Servlet time:1420201
JDBC time:7615322, Search Servlet time:7703555
JDBC time:12898825, Search Servlet time:8243938
JDBC time:2357512, Search Servlet time:2658876
JDBC time:4677057, Search Servlet time:4842244
JDBC time:2579063, Search Servlet time:2666274
JDBC time:4224794, Search Servlet time:3882400
JDBC time:1839334, Search Servlet time:2011138
JDBC time:2104199, Search Servlet time:2267835
JDBC time:2659977, Search Servlet time:2343611
JDBC time:3889427, Search Servlet time:3971774
JDBC time:1311091, Search Servlet time:1425264
JDBC time:1760711, Search Servlet time:1870577
JDBC time:1729889, Search Servlet time:1822267
JDBC time:3373603, Search Servlet time:2072327
JDBC time:1886123, Search Servlet time:1981969
JDBC time:1817515, Search Servlet time:1989193
JDBC time:3686396, Search Servlet time:3769549
JDBC time:5267055, Search Servlet time:4189057
JDBC time:1606035, Search Servlet time:1707775
JDBC time:1771700, Search Servlet time:1936634
JDBC time:1297690, Search Servlet time:1377532
JDBC time:3664312, Search Servlet time:3354984
JDBC time:1424463, Search Servlet time:1535533
JDBC time:1640616, Search Servlet time:1779057
JDBC time:1924665, Search Servlet time:2008804
JDBC time:1223322, Search Servlet time:1320964
JDBC time:1146366, Search Servlet time:1237311
JDBC time:1549654, Search Servlet time:1688877
JDBC time:1325070, Search Servlet time:1401273
JDBC time:2999808, Search Servlet time:2636548
JDBC time:3095706, Search Servlet time:3317437
JDBC time:2409567, Search Servlet time:2620955
JDBC time:1828311, Search Servlet time:1920385
JDBC time:3834688, Search Servlet time:3488912
JDBC time:1551104, Search Servlet time:1642720
JDBC time:1669752, Search Servlet time:1822257
JDBC time:1735464, Search Servlet time:1810314
JDBC time:3721588, Search Servlet time:3832703
JDBC time:1298719, Search Servlet time:1424383
JDBC time:4008964, Search Servlet time:4169293
JDBC time:1542346, Search Servlet time:1654443
JDBC time:1531036, Search Servlet time:1619295
JDBC time:1131708, Search Servlet time:1226496
JDBC time:3535437, Search Servlet time:3740455
JDBC time:1985742, Search Servlet time:2588936
JDBC time:1214978, Search Servlet time:1294959
JDBC time:1192636, Search Servlet time:1280446
JDBC time:1844462, Search Servlet time:1993454
JDBC time:3126891, Search Servlet time:687550
JDBC time:2232432, Search Servlet time:2312647
JDBC time:1190246, Search Servlet time:1270747
JDBC time:7083589, Search Servlet time:7198610
JDBC time:8374468, Search Servlet time:7506429
JDBC time:5254591, Search Servlet time:5331916
JDBC time:13643978, Search Servlet time:5650010
JDBC time:1417106, Search Servlet time:1546838
JDBC time:5272009, Search Servlet time:1979671
JDBC time:1268299, Search Servlet time:1364451
JDBC time:3082581, Search Servlet time:1764597
JDBC time:2758714, Search Servlet time:2953925
JDBC time:4620381, Search Servlet time:4316308
JDBC time:2259559, Search Servlet time:1254327
JDBC time:1509285, Search Servlet time:1579764
JDBC time:2543987, Search Servlet time:725501
JDBC time:2577688, Search Servlet time:2662423
JDBC time:1777389, Search Servlet time:1869239
JDBC time:3237065, Search Servlet time:2162587
JDBC time:2360943, Search Servlet time:2518896
JDBC time:1062674, Search Servlet time:1141467
JDBC time:1378604, Search Servlet time:1454020
JDBC time:3264319, Search Servlet time:3034404
JDBC time:1355774, Search Servlet time:1474493
JDBC time:5423236, Search Servlet time:2247200
JDBC time:1152923, Search Servlet time:1227627
JDBC time:2577544, Search Servlet time:2276275
JDBC time:1831172, Search Servlet time:2001152
JDBC time:1304477, Search Servlet time:1395539
JDBC time:5698258, Search Servlet time:5321978
JDBC time:15819458, Search Servlet time:15885601
JDBC time:2403977, Search Servlet time:2543049
JDBC time:1124678, Search Servlet time:1204545
JDBC time:1430940, Search Servlet time:1509123
JDBC time:3424117, Search Servlet time:3506660
JDBC time:2079129, Search Servlet time:2209393
JDBC time:3217331, Search Servlet time:3300122
JDBC time:1550518, Search Servlet time:1632751
JDBC time:1680782, Search Servlet time:1761634
JDBC time:5593298, Search Servlet time:5743736
JDBC time:1698715, Search Servlet time:1917265
JDBC time:1151590, Search Servlet time:1234739
JDBC time:1458654, Search Servlet time:1535415
JDBC time:1846852, Search Servlet time:1983930
JDBC time:1179144, Search Servlet time:1260664
JDBC time:1120011, Search Servlet time:1196410
JDBC time:1272200, Search Servlet time:1375947
JDBC time:1715625, Search Servlet time:1829752
JDBC time:1758572, Search Servlet time:1841545
JDBC time:1230836, Search Servlet time:1298554
JDBC time:1159404, Search Servlet time:1235784
JDBC time:1698100, Search Servlet time:1868798
JDBC time:1698518, Search Servlet time:491949
JDBC time:2590377, Search Servlet time:2664364
JDBC time:1200531, Search Servlet time:1304329
JDBC time:1783296, Search Servlet time:1975256
JDBC time:1245068, Search Servlet time:1346944
JDBC time:1320355, Search Servlet time:1407537
JDBC time:1817169, Search Servlet time:1911255
JDBC time:1439789, Search Servlet time:1556169
JDBC time:1213189, Search Servlet time:1305067
JDBC time:1127526, Search Servlet time:1212945
JDBC time:2185682, Search Servlet time:2281849
JDBC time:1689248, Search Servlet time:1860925
JDBC time:1217170, Search Servlet time:1306874
JDBC time:1463158, Search Servlet time:1550051
JDBC time:1251539, Search Servlet time:1338114
JDBC time:1515065, Search Servlet time:1665631
JDBC time:4252049, Search Servlet time:3881635
JDBC time:8019123, Search Servlet time:8125742
JDBC time:1390030, Search Servlet time:1467743
JDBC time:1407532, Search Servlet time:1566253
JDBC time:3646065, Search Servlet time:1915288
JDBC time:1599971, Search Servlet time:1680168
JDBC time:1189928, Search Servlet time:1276358
JDBC time:2232353, Search Servlet time:2329293
JDBC time:3077575, Search Servlet time:2654394
JDBC time:1449258, Search Servlet time:1548289
JDBC time:1131475, Search Servlet time:1213796
JDBC time:2246629, Search Servlet time:2403490
JDBC time:1237889, Search Servlet time:1324069
JDBC time:1342343, Search Servlet time:1426984
