JDBC time:1873160, Search Servlet time:1976254
JDBC time:1529148, Search Servlet time:1629342
JDBC time:1451484, Search Servlet time:1529126
JDBC time:1112296, Search Servlet time:1167625
JDBC time:1056264, Search Servlet time:1145518
JDBC time:3227579, Search Servlet time:1442904
JDBC time:1719703, Search Servlet time:1816887
JDBC time:1255366, Search Servlet time:1325593
JDBC time:1357184, Search Servlet time:1457223
JDBC time:1606961, Search Servlet time:1704252
JDBC time:1123012, Search Servlet time:1218333
JDBC time:2751138, Search Servlet time:1509001
JDBC time:1619535, Search Servlet time:1715373
JDBC time:2475221, Search Servlet time:2529520
JDBC time:2780285, Search Servlet time:1205980
JDBC time:1425691, Search Servlet time:1472929
JDBC time:960475, Search Servlet time:1010667
JDBC time:1579047, Search Servlet time:1665607
JDBC time:1972994, Search Servlet time:360327
JDBC time:1671236, Search Servlet time:1732142
JDBC time:1412539, Search Servlet time:1502558
JDBC time:887063, Search Servlet time:937529
JDBC time:1341412, Search Servlet time:1427756
JDBC time:872463, Search Servlet time:932911
JDBC time:1606389, Search Servlet time:1690702
JDBC time:3327621, Search Servlet time:1959494
JDBC time:1090079, Search Servlet time:1173315
JDBC time:2885435, Search Servlet time:1429173
JDBC time:1755681, Search Servlet time:1871399
JDBC time:1397027, Search Servlet time:1528774
JDBC time:1435256, Search Servlet time:1547503
JDBC time:971337, Search Servlet time:1057583
JDBC time:891077, Search Servlet time:941076
JDBC time:4021534, Search Servlet time:1224726
JDBC time:2610069, Search Servlet time:473366
JDBC time:1646040, Search Servlet time:1718626
JDBC time:2539657, Search Servlet time:2604197
JDBC time:3097808, Search Servlet time:2872837
JDBC time:1302956, Search Servlet time:1397512
JDBC time:1165032, Search Servlet time:1247614
JDBC time:1637360, Search Servlet time:1722352
JDBC time:3001415, Search Servlet time:1465603
JDBC time:1741179, Search Servlet time:1786522
JDBC time:1292611, Search Servlet time:3257022
JDBC time:2148260, Search Servlet time:2297774
JDBC time:1453581, Search Servlet time:1566645
JDBC time:2363456, Search Servlet time:1209728
JDBC time:1403940, Search Servlet time:1448702
JDBC time:1494487, Search Servlet time:1626685
JDBC time:1118385, Search Servlet time:1179146
JDBC time:3880543, Search Servlet time:3984285
JDBC time:1933661, Search Servlet time:339998
JDBC time:1544900, Search Servlet time:1597962
JDBC time:902220, Search Servlet time:950747
JDBC time:1470360, Search Servlet time:1558569
JDBC time:2184224, Search Servlet time:1748587
JDBC time:4246619, Search Servlet time:4296280
JDBC time:4945514, Search Servlet time:4738872
JDBC time:15915753, Search Servlet time:8756011
JDBC time:1263575, Search Servlet time:2660405
JDBC time:1742393, Search Servlet time:399624
JDBC time:1614100, Search Servlet time:1656314
JDBC time:1423891, Search Servlet time:1515016
JDBC time:1242306, Search Servlet time:1292536
JDBC time:1688313, Search Servlet time:1786130
JDBC time:1699183, Search Servlet time:1783620
JDBC time:1162927, Search Servlet time:1246659
JDBC time:1985311, Search Servlet time:2048753
JDBC time:2932053, Search Servlet time:2673801
JDBC time:1328245, Search Servlet time:1418446
JDBC time:1545448, Search Servlet time:1648468
JDBC time:1462699, Search Servlet time:1557825
JDBC time:1657711, Search Servlet time:1742820
JDBC time:3304154, Search Servlet time:3048903
JDBC time:2119942, Search Servlet time:2248816
JDBC time:1713308, Search Servlet time:1794937
JDBC time:3505896, Search Servlet time:3082241
JDBC time:6533728, Search Servlet time:6176359
JDBC time:10820742, Search Servlet time:10881923
JDBC time:1450462, Search Servlet time:1537527
JDBC time:3708104, Search Servlet time:3801522
JDBC time:1286237, Search Servlet time:1405417
JDBC time:3743406, Search Servlet time:3860153
JDBC time:1583114, Search Servlet time:1648943
JDBC time:1827044, Search Servlet time:1917089
JDBC time:1276917, Search Servlet time:1358616
JDBC time:2613064, Search Servlet time:2389542
JDBC time:4969275, Search Servlet time:5045450
JDBC time:1991358, Search Servlet time:2085034
JDBC time:1678221, Search Servlet time:1779243
JDBC time:973451, Search Servlet time:1026369
JDBC time:1760628, Search Servlet time:1844053
JDBC time:1392788, Search Servlet time:1444549
JDBC time:1786990, Search Servlet time:2194097
JDBC time:2025229, Search Servlet time:2116879
JDBC time:1585277, Search Servlet time:1673785
JDBC time:995513, Search Servlet time:1057266
JDBC time:1336031, Search Servlet time:1437928
JDBC time:1458717, Search Servlet time:1551668
JDBC time:3640541, Search Servlet time:3734382
JDBC time:961154, Search Servlet time:1011619
JDBC time:1319124, Search Servlet time:1401869
JDBC time:1827217, Search Servlet time:427516
JDBC time:1520014, Search Servlet time:1570936
JDBC time:1144945, Search Servlet time:1237044
JDBC time:5217250, Search Servlet time:1871494
JDBC time:2253040, Search Servlet time:2347300
JDBC time:1267989, Search Servlet time:1347306
JDBC time:1745679, Search Servlet time:1825154
JDBC time:1487935, Search Servlet time:1578547
JDBC time:1372783, Search Servlet time:1468701
JDBC time:3657330, Search Servlet time:3749541
JDBC time:1305365, Search Servlet time:1397640
JDBC time:2947433, Search Servlet time:2639650
JDBC time:1551038, Search Servlet time:1652336
JDBC time:1266282, Search Servlet time:1318502
JDBC time:4224109, Search Servlet time:388745
JDBC time:2033835, Search Servlet time:2085250
JDBC time:2716243, Search Servlet time:2317812
JDBC time:1732963, Search Servlet time:1852921
JDBC time:948335, Search Servlet time:1024728
JDBC time:1382976, Search Servlet time:1468617
JDBC time:2483587, Search Servlet time:2571554
JDBC time:11512886, Search Servlet time:8072445
JDBC time:1256756, Search Servlet time:1352053
JDBC time:1659027, Search Servlet time:1745912
JDBC time:1378106, Search Servlet time:1469499
JDBC time:1404491, Search Servlet time:1492822
JDBC time:2720060, Search Servlet time:2495642
JDBC time:901057, Search Servlet time:952035
JDBC time:1707729, Search Servlet time:1801415
JDBC time:10635192, Search Servlet time:10720770
JDBC time:1564692, Search Servlet time:1660015
JDBC time:4107513, Search Servlet time:3914567
JDBC time:4172395, Search Servlet time:4215656
JDBC time:1300638, Search Servlet time:1413697
JDBC time:1317925, Search Servlet time:1374370
JDBC time:1820270, Search Servlet time:1898582
JDBC time:1266924, Search Servlet time:1344172
JDBC time:1381707, Search Servlet time:1471816
JDBC time:1112191, Search Servlet time:1178820
JDBC time:1706225, Search Servlet time:1798149
JDBC time:11500836, Search Servlet time:11588102
JDBC time:1194635, Search Servlet time:1310906
JDBC time:2812995, Search Servlet time:2345071
JDBC time:1795815, Search Servlet time:1897169
JDBC time:1668372, Search Servlet time:1760246
JDBC time:5816299, Search Servlet time:5607728
JDBC time:11819014, Search Servlet time:11878226
JDBC time:2126299, Search Servlet time:2209002
JDBC time:1493107, Search Servlet time:1582356
JDBC time:1179350, Search Servlet time:1249148
JDBC time:1269291, Search Servlet time:1359097
JDBC time:1153928, Search Servlet time:1244136
JDBC time:2778818, Search Servlet time:2529167
JDBC time:1562611, Search Servlet time:1651349
JDBC time:1353359, Search Servlet time:1447350
JDBC time:2138586, Search Servlet time:2232603
JDBC time:2721795, Search Servlet time:2530023
JDBC time:4384994, Search Servlet time:3911702
JDBC time:3635579, Search Servlet time:3740463
JDBC time:1562434, Search Servlet time:1640225
JDBC time:1361520, Search Servlet time:1456018
JDBC time:1343556, Search Servlet time:1431179
JDBC time:1752709, Search Servlet time:1837357
JDBC time:998274, Search Servlet time:1056077
JDBC time:2341445, Search Servlet time:2123278
JDBC time:1807885, Search Servlet time:1901330
JDBC time:2943840, Search Servlet time:3111298
JDBC time:1129709, Search Servlet time:1207355
JDBC time:1362945, Search Servlet time:1458099
JDBC time:1355506, Search Servlet time:1449720
JDBC time:1536674, Search Servlet time:1589887
JDBC time:2067340, Search Servlet time:2115382
JDBC time:2599522, Search Servlet time:2405907
JDBC time:1407851, Search Servlet time:1508888
JDBC time:1188744, Search Servlet time:1248027
JDBC time:1208032, Search Servlet time:1286632
JDBC time:6011812, Search Servlet time:422727
JDBC time:3825116, Search Servlet time:3883921
JDBC time:12499455, Search Servlet time:10175717
JDBC time:1279559, Search Servlet time:1354461
JDBC time:2896048, Search Servlet time:2464486
