JDBC time:1310835, Search Servlet time:1417002
JDBC time:1667617, Search Servlet time:1765596
JDBC time:1302238, Search Servlet time:1388021
JDBC time:2556823, Search Servlet time:2657528
JDBC time:1485661, Search Servlet time:1595591
JDBC time:1621161, Search Servlet time:1708932
JDBC time:1557658, Search Servlet time:1652564
JDBC time:1309429, Search Servlet time:1402136
JDBC time:1520881, Search Servlet time:1603084
JDBC time:1395446, Search Servlet time:1495239
JDBC time:1453530, Search Servlet time:1579178
JDBC time:1818123, Search Servlet time:1948659
JDBC time:1480004, Search Servlet time:1611364
JDBC time:1668488, Search Servlet time:1762133
JDBC time:1340963, Search Servlet time:1431728
JDBC time:1438429, Search Servlet time:1538513
JDBC time:1867881, Search Servlet time:1973642
JDBC time:1659243, Search Servlet time:1782832
JDBC time:1328977, Search Servlet time:1422223
JDBC time:1843678, Search Servlet time:1954305
JDBC time:1323490, Search Servlet time:1417721
JDBC time:1268644, Search Servlet time:1368105
JDBC time:1413795, Search Servlet time:1507105
JDBC time:1379114, Search Servlet time:1473791
JDBC time:1627129, Search Servlet time:1756946
JDBC time:1905380, Search Servlet time:1999573
JDBC time:1254717, Search Servlet time:1351607
JDBC time:1464503, Search Servlet time:1564311
JDBC time:1503011, Search Servlet time:1592538
JDBC time:1309556, Search Servlet time:1424736
JDBC time:1332030, Search Servlet time:1427016
JDBC time:1409223, Search Servlet time:1499099
JDBC time:1621755, Search Servlet time:1721861
JDBC time:1253455, Search Servlet time:1361224
JDBC time:1553579, Search Servlet time:1670113
JDBC time:1583050, Search Servlet time:1686986
JDBC time:4628078, Search Servlet time:4729935
JDBC time:1451058, Search Servlet time:1566878
JDBC time:1516992, Search Servlet time:1613947
JDBC time:1187676, Search Servlet time:1289775
JDBC time:3558305, Search Servlet time:3649472
JDBC time:1579111, Search Servlet time:1712540
JDBC time:1714318, Search Servlet time:1848074
JDBC time:1491355, Search Servlet time:1637890
JDBC time:1544666, Search Servlet time:1638654
JDBC time:1667789, Search Servlet time:1769476
JDBC time:1492836, Search Servlet time:1609208
JDBC time:1599269, Search Servlet time:1684323
JDBC time:1823578, Search Servlet time:1933203
JDBC time:1422183, Search Servlet time:1521068
JDBC time:1900526, Search Servlet time:2043029
JDBC time:1373948, Search Servlet time:1468610
JDBC time:1400204, Search Servlet time:1528516
JDBC time:1599202, Search Servlet time:1678655
JDBC time:1338709, Search Servlet time:1451313
JDBC time:3565590, Search Servlet time:3691650
JDBC time:1480845, Search Servlet time:1595028
JDBC time:1579322, Search Servlet time:1675900
JDBC time:1573292, Search Servlet time:1669439
JDBC time:1620325, Search Servlet time:1736546
JDBC time:1373135, Search Servlet time:1472157
JDBC time:3042473, Search Servlet time:3157333
JDBC time:1590944, Search Servlet time:1705905
JDBC time:1846958, Search Servlet time:1953094
JDBC time:1455315, Search Servlet time:1598386
JDBC time:1469772, Search Servlet time:1582827
JDBC time:1731106, Search Servlet time:1845797
JDBC time:1671272, Search Servlet time:1800794
JDBC time:1746416, Search Servlet time:1835331
JDBC time:1442350, Search Servlet time:1547347
JDBC time:2175232, Search Servlet time:2266525
JDBC time:1420073, Search Servlet time:1530790
JDBC time:1455900, Search Servlet time:1550176
JDBC time:1309308, Search Servlet time:1402867
JDBC time:1571236, Search Servlet time:1670782
JDBC time:1399928, Search Servlet time:1491357
JDBC time:1529216, Search Servlet time:1647090
JDBC time:1569230, Search Servlet time:1667849
JDBC time:1768976, Search Servlet time:1891782
JDBC time:1649084, Search Servlet time:1733362
JDBC time:1563064, Search Servlet time:1653824
JDBC time:1233257, Search Servlet time:1340145
JDBC time:1501473, Search Servlet time:1587973
JDBC time:1251607, Search Servlet time:1361060
JDBC time:1245026, Search Servlet time:1338534
JDBC time:1453669, Search Servlet time:1553488
JDBC time:1703705, Search Servlet time:1806784
JDBC time:1654111, Search Servlet time:1745127
JDBC time:1886510, Search Servlet time:1982333
JDBC time:1396549, Search Servlet time:1492923
JDBC time:1377065, Search Servlet time:1479439
JDBC time:1572055, Search Servlet time:1671539
JDBC time:1724040, Search Servlet time:1813584
JDBC time:1380118, Search Servlet time:1481277
JDBC time:1785729, Search Servlet time:1877583
JDBC time:1800690, Search Servlet time:1914644
JDBC time:1459448, Search Servlet time:1558598
JDBC time:1736599, Search Servlet time:1832891
JDBC time:1556385, Search Servlet time:1655657
JDBC time:1419938, Search Servlet time:1535745
JDBC time:1494063, Search Servlet time:1598365
