JDBC time: 31502146, Servlet time: 31547345
JDBC time: 42558189, Servlet time: 42600526
JDBC time: 56237265, Servlet time: 56306192
JDBC time: 51192736, Servlet time: 51240005
JDBC time: 18576209, Servlet time: 18635549
JDBC time: 29663258, Servlet time: 29757753
JDBC time: 33967145, Servlet time: 34075450
JDBC time: 34216818, Servlet time: 34297879
JDBC time: 24201209, Servlet time: 24240485
JDBC time: 24785656, Servlet time: 24841501
JDBC time: 55718492, Servlet time: 55782215
JDBC time: 55933252, Servlet time: 55976946
JDBC time: 37630036, Servlet time: 37675616
JDBC time: 59180147, Servlet time: 59219420
JDBC time: 55361112, Servlet time: 55419860
JDBC time: 38636918, Servlet time: 38731237
JDBC time: 38414379, Servlet time: 38454592
JDBC time: 38265142, Servlet time: 38306080
JDBC time: 85518281, Servlet time: 85559160
JDBC time: 92320568, Servlet time: 92380364
JDBC time: 93618087, Servlet time: 93660139
JDBC time: 91167532, Servlet time: 91207162
JDBC time: 92061617, Servlet time: 92098607
JDBC time: 95976446, Servlet time: 96020896
JDBC time: 95566966, Servlet time: 95613762
JDBC time: 95338155, Servlet time: 95375491
JDBC time: 107090856, Servlet time: 107138287
JDBC time: 109173854, Servlet time: 109266027
JDBC time: 65169138, Servlet time: 65226032
JDBC time: 67903596, Servlet time: 67940235
JDBC time: 66152774, Servlet time: 66187524
JDBC time: 71177048, Servlet time: 71210637
JDBC time: 72691745, Servlet time: 72763376
JDBC time: 86627385, Servlet time: 86665746
JDBC time: 77513729, Servlet time: 77614963
JDBC time: 84033057, Servlet time: 84080692
JDBC time: 75481920, Servlet time: 75518687
JDBC time: 98404371, Servlet time: 98636503
JDBC time: 86706690, Servlet time: 86757387
JDBC time: 83655666, Servlet time: 83692587
JDBC time: 87213421, Servlet time: 87246489
JDBC time: 90585313, Servlet time: 90616704
JDBC time: 91635338, Servlet time: 91666598
JDBC time: 89925029, Servlet time: 89956744
JDBC time: 92628266, Servlet time: 92664737
JDBC time: 91087415, Servlet time: 91118094
JDBC time: 96940781, Servlet time: 97023384
JDBC time: 87439988, Servlet time: 87475974
JDBC time: 77669429, Servlet time: 77702756
JDBC time: 79192858, Servlet time: 79230619
JDBC time: 80083657, Servlet time: 80117744
JDBC time: 52814662, Servlet time: 52851027
JDBC time: 84167442, Servlet time: 84203375
JDBC time: 54039779, Servlet time: 54078359
JDBC time: 83284125, Servlet time: 83317294
JDBC time: 88858657, Servlet time: 88892361
JDBC time: 90300104, Servlet time: 90361911
JDBC time: 92508773, Servlet time: 92545192
JDBC time: 73378948, Servlet time: 73417907
JDBC time: 80261002, Servlet time: 80297057
JDBC time: 81604874, Servlet time: 81644121
JDBC time: 78703996, Servlet time: 78755934
JDBC time: 83682350, Servlet time: 83715347
JDBC time: 84919722, Servlet time: 84953734
